word,example,meaning,pronunciation,audio_files
author,(the author of a popular book),著者,（人気本の著者）,"02-35.mp3, 02-36.mp3"
benefit,(employee benefits),福利厚生,（従業員の福利厚生）,"02-37.mp3, 02-38.mp3"
focus,(focus on one point),～に集中させる,（1点に集中する）,"02-39.mp3, 02-40.mp3"
participate,(participate in the workshop),参加する,（セミナーに参加する）,"02-41.mp3, 02-42.mp3"
cause,(the cause of the problem),原因,（問題の原因）,"02-43.mp3, 02-44.mp3"
degree,(a degree in journalism),学位,（ジャーナリズムの学位）,"02-45.mp3, 02-46.mp3"
directly,(purchase directly from a Web site),直接,（ホームページから直接購入する）,"02-47.mp3, 02-48.mp3"
host,(the host of a television show),司会者,（テレビ番組の司会者）,"02-49.mp3, 02-50.mp3"
expert,(an expert in the field),専門家,（その分野の専門家）,"02-51.mp3, 02-52.mp3"
impress,(We were impressed by your knowledge.),感心させる,（我々はあなたの知識に感心した。）,"02-53.mp3, 02-54.mp3"
mainly,(work mainly in the steel industry),主に,（主に鉄鋼業界で働く）,"02-55.mp3, 02-56.mp3"
suggestion,(make suggestions),提案,（提案を行う）,"02-57.mp3, 02-58.mp3"
supplier,(relationships with suppliers),納入業者,（納入業者との関係）,"02-59.mp3, 02-60.mp3"
document,(an important document),書類,（重要な書類）,"02-61.mp3, 02-62.mp3"
remind,(remind employees about the policy),再確認する,（従業員に規則に関して再確認する）,"02-63.mp3, 02-64.mp3"
require,(Workers are required to wear uniforms.),求める,（作業員は制服の着用を求められます。）,"02-65.mp3, 02-66.mp3"
representative,(a sales representative),担当者,（営業担当者）,"02-67.mp3, 02-68.mp3"
packaging,(the packaging area),梱包,（梱包エリア）,"02-69.mp3, 02-70.mp3"
description,(a job description),説明,（職務内容の説明）,"02-71.mp3, 02-72.mp3"
property,(a property manager),不動産,（不動産の管理人）,"02-73.mp3, 02-74.mp3"
extension,(Call me at extension 4649.),内線,（内線4649にお電話ください。）,"02-75.mp3, 02-76.mp3"
inquire,(inquire about a job),問い合わせる,（仕事について問い合わせる）,"02-77.mp3, 02-78.mp3"
merchandise,(display merchandise),商品,（商品を陳列する）,"02-79.mp3, 02-80.mp3"
highly,(a highly successful business),非常に,（非常に成功しているビジネス）,"02-81.mp3, 02-82.mp3"
result,(The campaign resulted in success.),結果,（そのキャンペーンは成功という結果になった。）,"02-83.mp3, 02-84.mp3"
assistance,(Thank you for your assistance.),支援,（ご支援ありがとうございます。）,"02-85.mp3, 02-86.mp3"
encourage,(Employees are encouraged to attend the event.),奨励する,（従業員がイベントに参加することを奨励します。）,"02-87.mp3, 02-88.mp3"
individual,(each individual in the company),個人,（会社の一人一人の個人）,"02-89.mp3, 02-90.mp3"
laboratory,(when entering the laboratory),研究所,（研究所に入る時）,"02-91.mp3, 02-92.mp3"
consider,(consider working in Japan),考える,（日本での勤務を考える）,"02-93.mp3, 02-94.mp3"
headquarters,(move the headquarters to Boston),本社,(本社をボストンに移転する),"02-95.mp3, 02-96.mp3"
ship,(We are ready to ship your order.),出荷する,(注文を出荷する準備ができました。),"02-97.mp3, 02-98.mp3"
commercial,(commercial buildings),商業の,(商業ビル),"02-99.mp3, 02-100.mp3"
device,(a medical device),機器,（医療機器）,"02-101.mp3, 02-102.mp3"
intended,(For whom is the notice intended?),向けられた,(このお知らせは誰に向けられていますか。),"02-103.mp3, 02-104.mp3"
brochure,(a product brochure),パンフレット,(製品パンフレット),"02-105.mp3, 02-106.mp3"
mail,(by express mail),郵便配達,(速達郵便で),"02-107.mp3, 02-108.mp3"
prefer,(I prefer to work part-time.),～を（・・・よりも）好む,(私はパートタイムで働く方が好きです。),"02-109.mp3, 02-110.mp3"
response,(I'm writing in response to your letter.),返事,(お手紙へのご返事です。),"02-111.mp3, 02-112.mp3"
region,(companies in the region),地域,(その地域の会社),"02-113.mp3, 02-114.mp3"
donation,(donations to a museum),寄付,(ミュージアムへの寄付),"02-115.mp3, 02-116.mp3"
quarter,(the third quarter),四半期,(第3四半期),"02-117.mp3, 02-118.mp3"
agreement,(a rental agreement),契約,(賃貸契約書）,"02-119.mp3, 02-120.mp3"
journal,(a scientific journal),専門誌,(科学の専門誌),"02-121.mp3, 02-122.mp3"
distribute,(distribute a document),配布する,(書類を配布する),"02-123.mp3, 02-124.mp3"
potential,(potential customers),見込みがある,(見込み客),"02-125.mp3, 02-126.mp3"
reschedule,(reschedule an appointment),スケジュール変更する,(アポを予定変更する),"02-127.mp3, 02-128.mp3"
renew,(renew a contract),更新する,(契約を更新する),"02-129.mp3, 02-130.mp3"
warehouse,(ship from a warehouse),倉庫,(倉庫から出荷する),"02-131.mp3, 02-132.mp3"
refund,(a full refund),返金,(全額返金),"02-133.mp3, 02-134.mp3"
advise,(What are listeners advised to do?),勧める,(聞き手は何をするよう勧められていますか。),"02-135.mp3, 02-136.mp3"
immediately,(The tickets sold out immediately.),即座に,(チケットは即売り切れた。),"02-137.mp3, 02-138.mp3"
council,(the city council),議会,(市議会),"02-139.mp3, 02-140.mp3"
broadcast,(The program is usually broadcast on Saturdays.),放送する,(その番組は通常土曜日に放送される。),"02-141.mp3, 02-142.mp3"
responsible,(I am responsible for training employees.),担当している,(私は従業員の研修を担当している。),"02-143.mp3, 02-144.mp3"
avoid,(avoid wasting time),避ける,(時間の無駄遣いを避ける),"02-145.mp3, 02-146.mp3"
effective,(effective advertising campaigns),効果的な,(効果的な広告キャンペーン),"02-147.mp3, 02-148.mp3"
invitation,(receive an invitation),招待,(招待状を受け取る),"02-149.mp3, 02-150.mp3"
reduce,(reduce prices),（値段を）下げる,(値段を下げる),"02-151.mp3, 02-152.mp3"
vehicle,(park a vehicle),乗り物,(乗り物を駐車する),"02-153.mp3, 02-154.mp3"
efficient,(efficient use of energy),効率的な,(エネルギーの効率的な使用),"02-155.mp3, 02-156.mp3"
manufacturer,(a car manufacturer),メーカー,(自動車メーカー),"02-157.mp3, 02-158.mp3"
comfortable,(comfortable rooms and friendly staff),快適な,(快適な部屋とフレンドリーなスタッフ),"02-159.mp3, 02-160.mp3"
correct,(the correct address),正しい,（正しい住所）,"02-161.mp3, 02-162.mp3"
downtown,(downtown restaurants),中心街の,(中心街のレストラン),"02-163.mp3, 02-164.mp3"
method,(the method of payment),方法,(支払方法),"02-165.mp3, 02-166.mp3"
entire,(the entire staff),全体の,（全スタッフ）,"02-167.mp3, 02-168.mp3"
range,(a wide range of services),範囲,(広範囲のサービス),"02-169.mp3, 02-170.mp3"
setting,(a hotel in a beautiful setting),環境,(美しい環境にあるホテル),"02-171.mp3, 02-172.mp3"
apologize,(We apologize for the inconvenience.),おわびする,(ご不便をおかけしますことをお詫びします。),"02-173.mp3, 02-174.mp3"
frequent,(frequent use of the Internet),ひんぱんな,(インターネットのひんぱんな使用),"02-175.mp3, 02-176.mp3"
promotion,(Tex's promotion to sales manager),昇進,(テックスの営業マネージャーへの昇進),"02-177.mp3, 02-178.mp3"
regarding,(regarding your order),～に関する,(あなたのご注文に関して),"02-179.mp3, 02-180.mp3"
temporary,(temporary workers),臨時の,(臨時雇いの従業員),"02-181.mp3, 02-182.mp3"
traditional,(traditional Italian dishes),伝統的な,(伝統的なイタリア料理),"02-183.mp3, 02-184.mp3"
admission,(Admission is free for all members.),入場料,（メンバーは入場無料です。）,"02-185.mp3, 02-186.mp3"
fit,(The room can fit 50 people.),入る,(その部屋には50人が入る。),"02-187.mp3, 02-188.mp3"
reference,(contact a reference),照会先,(照会先に連絡を取る),"02-189.mp3, 02-190.mp3"
status,(shipment status),状況,(配送状況),"02-191.mp3, 02-192.mp3"
fuel,(fuel costs),燃料,(燃料のコスト),"02-193.mp3, 02-194.mp3"
nearly,(nearly two years),もう少しで,(2年近く),"02-195.mp3, 02-196.mp3"
cafeteria,(meet in the cafeteria for lunch),社員食堂,(昼食のために社員食堂に集まる),"02-197.mp3, 02-198.mp3"
determine,(determine how to sell the product),決定する,(製品の売り方を決定する),"02-199.mp3, 02-200.mp3"
expense,(travel expenses),経費,(出張経費),"03-01.mp3, 03-02.mp3"
oversea,(overseas markets),海外の,(海外市場),"03-03.mp3, 03-04.mp3"
satisfied,(I am fully satisfied with the service.),満足した,(私はサービスに完全に満足しています。),"03-05.mp3, 03-06.mp3"
appear,(Where would the article most likely appear?),掲載される,(この記事がもっとも掲載されそうなのはどこですか。),"03-07.mp3, 03-08.mp3"
develop,(develop a plan),作り出す,(計画を作り出す),"03-09.mp3, 03-10.mp3"
improve,(improve customer service),改善する,(顧客サービスを改善する),"03-11.mp3, 03-12.mp3"
reasonable,(a reasonable price),手ごろな,(手ごろな値段),"03-13.mp3, 03-14.mp3"
unable,(What is the man unable to do?),できない,(男性ができないことは何ですか。),"03-15.mp3, 03-16.mp3"
delay,(All flights have been delayed.),遅らせる,(すべての便が遅れています。),"03-17.mp3, 03-18.mp3"
legal,(legal advice),法律に関する,(法律に関するアドバイス),"03-19.mp3, 03-20.mp3"
regulation,(under the regulations),規制,(規制の下で),"03-21.mp3, 03-22.mp3"
expand,(Our business is expanding.),拡大する,(当社の事業は拡大しています。),"03-23.mp3, 03-24.mp3"
launch,(the launch of a new product),発売,(新商品の発売),"03-25.mp3, 03-26.mp3"
recommendation,(a letter of recommendation),推薦,(推薦状),"03-27.mp3, 03-28.mp3"
direct,(Please direct any questions to me.),向ける,(質問は私の方にしてください。),"03-29.mp3, 03-30.mp3"
profit,(increase profits),利益,(利益を増やす),"03-31.mp3, 03-32.mp3"
seek,(seek interns for the summer),探し求める,(夏期研修生を募集する),"03-33.mp3, 03-34.mp3"
entry,(the winning entry),エントリー,(入賞したエントリー作品),"03-35.mp3, 03-36.mp3"
claim,(file a claim),申し立て,(申し立てを行う),"03-37.mp3, 03-38.mp3"
crew,(a repair crew),班,(修理班),"03-39.mp3, 03-40.mp3"
demand,(meet demand),需要,(需要を満たす),"03-41.mp3, 03-42.mp3"
figure,(sales figures),数字,(売上数字),"03-43.mp3, 03-44.mp3"
raise,(raise money for charity),集める,(慈善のためにお金を集める),"03-45.mp3, 03-46.mp3"
attach,(I have attached my r?sum?.),添付する,(履歴書を添付しました。),"03-47.mp3, 03-48.mp3"
attract,(a way of attracting customers),引き付ける,(お客様を引き付ける方法),"03-49.mp3, 03-50.mp3"
insurance,(provide health insurance for employees),保険,(社員に健康保険を提供する),"03-51.mp3, 03-52.mp3"
departure,(the scheduled departure date),出発,(出発予定日),"03-53.mp3, 03-54.mp3"
mayor,(the mayor of Tex Town),町長,(テックス・タウンの町長),"03-55.mp3, 03-56.mp3"
balance,(an account balance),残額,(口座残高),"03-57.mp3, 03-58.mp3"
estimate,(an estimate for the project),見積もり,(プロジェクトの見積もり),"03-59.mp3, 03-60.mp3"
district,(a commercial district),地区,(商業地区),"03-61.mp3, 03-62.mp3"
former,(a former employee),かつての,(かつての社員),"03-63.mp3, 03-64.mp3"
modern,(design a modern building),近代的な,(近代的な建物を設計する),"03-65.mp3, 03-66.mp3"
tip,(tips on packing),コツ,(荷づくりのコツ),"03-67.mp3, 03-68.mp3"
establish,(establish a business),設立する,(会社を設立する),"03-69.mp3, 03-70.mp3"
option,(an option to change the date),選択肢,(日付を変更する選択肢),"03-71.mp3, 03-72.mp3"
retire,(retire after 20 years of service),退職する,(20年の勤務の後、退職する),"03-73.mp3, 03-74.mp3"
search,(the search for the next president),検索,(次の社長探し),"03-75.mp3, 03-76.mp3"
specific,(a specific example),具体的な,(具体的な例),"03-77.mp3, 03-78.mp3"
agricultural,(agricultural technology),農業の,(農業の技術),"03-79.mp3, 03-80.mp3"
historical,(historical figures),歴史の,(歴史上の人物),"03-81.mp3, 03-82.mp3"
helpful,(I hope you find this information helpful.),役立つ,(この情報があなたの役に立つことを願っています。),"03-83.mp3, 03-84.mp3"
complaint,(complaints about the noise),苦情,(騒音についての苦情),"03-85.mp3, 03-86.mp3"
related,(experience in a related field),関連した,(関連分野での経験),"03-87.mp3, 03-88.mp3"
simply,(Simply fill out the form below.),単純に,(単純に以下の用紙にご記入ください。),"03-89.mp3, 03-90.mp3"
unique,(offer a unique opportunity),他に類を見ない,(他に類を見ない機会を提供する),"03-91.mp3, 03-92.mp3"
concerning,(any questions concerning the order),～に関する,(注文に関する質問),"03-93.mp3, 03-94.mp3"
reputation,(a well-deserved reputation),評判,(確固たる評判),"03-95.mp3, 03-96.mp3"
ability,(ability to speak three languages),能力,(３か国語を話す能力),"03-97.mp3, 03-98.mp3"
arrival,(the time of arrival),到着,(到着時刻),"03-99.mp3, 03-100.mp3"
familiar,(I am familiar with the area.),よく知っている,(私はその地域をよく知っています。),"03-101.mp3, 03-102.mp3"
ideal,(an ideal location),理想的な,(理想的な立地),"03-103.mp3, 03-104.mp3"
maintain,(maintain a Web site),維持する,(ホームページを維持管理する),"03-105.mp3, 03-106.mp3"
landscaping,(a landscaping company),造園,(造園会社),"03-107.mp3, 03-108.mp3"
organize,(organize an event),とりまとめる,(イベントをとりまとめる),"03-109.mp3, 03-110.mp3"
significant,(a significant increase in profits),かなりの,(かなりの利益増),"03-111.mp3, 03-112.mp3"
occasion,(a special occasion),好機,(特別な行事),"03-113.mp3, 03-114.mp3"
standard,(safety standards),基準,(安全基準),"03-115.mp3, 03-116.mp3"
background,(an impressive educational background),経歴,(優れた学歴),"03-117.mp3, 03-118.mp3"
guided,(a guided tour),ガイド付きの,(ガイド付きのツアー),"03-119.mp3, 03-120.mp3"
advanced,(advanced technology),進んだ,(先端（進んだ）技術),"03-121.mp3, 03-122.mp3"
alternative,(an alternative date),代わりの,(代わりの日),"03-123.mp3, 03-124.mp3"
confident,(I'm confident that I can do it.),自信がある,(私にはそれができると自信があります。),"03-125.mp3, 03-126.mp3"
decade,(over the past two decades),10年間,(過去20年間に渡って),"03-127.mp3, 03-128.mp3"
initial,(attend the initial training session),初めの,(最初の研修に参加する),"03-129.mp3, 03-130.mp3"
separate,(My order arrived in two separate shipments.),別々の,(私の注文は2回の別々の配送で届いた。),"03-131.mp3, 03-132.mp3"
celebration,(the grand opening celebration),お祝い,(グランドオープンのお祝い),"03-133.mp3, 03-134.mp3"
concern,(express concern),懸念,(懸念を表す),"03-135.mp3, 03-136.mp3"
environment,(work environment),環境,(職場環境),"03-137.mp3, 03-138.mp3"
operate,(operate a machine safely),操作する,(機械を安全に操作する),"03-139.mp3, 03-140.mp3"
various,(various designs and patterns),さまざまな,(さまざまなデザインや柄),"03-141.mp3, 03-142.mp3"
brief,(a brief report),短い,(短い報告書),"03-143.mp3, 03-144.mp3"
full-time,(full-time employees),常勤の,(常勤の社員),"03-145.mp3, 03-146.mp3"
overall,(the overall budget),全体の,(全体の予算),"03-147.mp3, 03-148.mp3"
achieve,(achieve a sales target),達成する,(販売目標を達成する),"03-149.mp3, 03-150.mp3"
basis,(pay on a monthly basis),基準,（月単位で支払う）,"03-151.mp3, 03-152.mp3"
complex,(a sports complex),複合施設,(スポーツの複合施設),"03-153.mp3, 03-154.mp3"
delighted,(We are delighted to see you.),とても喜んでいる,(お会いできてとてもうれしいです。),"03-155.mp3, 03-156.mp3"
obtain,(obtain information from the Internet),得る,（インターネットから情報を得る）,"03-157.mp3, 03-158.mp3"
honor,(honor an employee),称える,(社員を称える),"03-159.mp3, 03-160.mp3"
properly,(properly trained staff),適切に,(きちんと訓練されたスタッフ),"03-161.mp3, 03-162.mp3"
suitable,(suitable for outdoor use),適切な,(アウトドア用に適した),"03-163.mp3, 03-164.mp3"
electronic,(personal electronic devices),電子の,(個人用の電子機器),"03-165.mp3, 03-166.mp3"
finalize,(finalize a contract),取りまとめる,(契約を取りまとめる),"03-167.mp3, 03-168.mp3"
generous,(a generous donation to a charity),寛大な,(慈善団体への寛大な寄付),"03-169.mp3, 03-170.mp3"
preparation,(in preparation for an event),準備,(イベントの準備のため),"03-171.mp3, 03-172.mp3"
duty,(main duties of a teacher),任務,（教師の主な任務）,"03-173.mp3, 03-174.mp3"
earn,(earn the respect of people),得る,（人々の尊敬を得る）,"03-175.mp3, 03-176.mp3"
willing,(I am willing to work overseas.),～する気がある,(私は海外で働く意思がある。),"03-177.mp3, 03-178.mp3"
worth,(The book is worth reading.),価値がある,(その本は読む価値がある。),"03-179.mp3, 03-180.mp3"
fund,(a project funded by the government),資金を提供する,(政府に資金提供されているプロジェクト),"03-181.mp3, 03-182.mp3"
overnight,(free overnight delivery),翌日配送の,（無料の翌日配送）,"03-183.mp3, 03-184.mp3"
particularly,(particularly interested in history),特に,(歴史に特に興味がある),"03-185.mp3, 03-186.mp3"
aspect,(every aspect of a project),面,(プロジェクトのすべての面),"03-187.mp3, 03-188.mp3"
hesitate,(Please do not hesitate to contact us.),ためらう,(遠慮することなくご連絡ください。),"03-189.mp3, 03-190.mp3"
involved,(I was not involved with the project.),関わった,(私はそのプロジェクトに関わっていなかった。),"03-191.mp3, 03-192.mp3"
regularly,(a regularly updated list),定期的に,(定期的に更新されるリスト),"03-193.mp3, 03-194.mp3"
scholarship,(apply for a scholarship),奨学金,(奨学金を申請する),"03-195.mp3, 03-196.mp3"
